mes_id,aeropuerto_oaci,total_operaciones,promedio_operaciones,max_operaciones,min_operaciones,cantidad_registros
200012.0,SCNT,2.0,2.0,2.0,2.0,1
200012.0,SCRD,533.0,533.0,533.0,533.0,1
200012.0,SCSE,971.0,485.5,797.0,174.0,2
200012.0,SCSR,174.0,174.0,174.0,174.0,1
200012.0,SCTB,6741.0,6741.0,6741.0,6741.0,1
200012.0,SCTC,1258.0,629.0,1257.0,1.0,2
200012.0,SCTE,1844.0,922.0,1788.0,56.0,2
200012.0,SCTI,2386.0,2386.0,2386.0,2386.0,1
200012.0,SCTN,224.0,224.0,224.0,224.0,1
200012.0,SCVD,242.0,242.0,242.0,242.0,1
200012.0,SCVM,370.0,370.0,370.0,370.0,1
200101.0,SCAC,6.0,6.0,6.0,6.0,1
200101.0,SCAP,11.0,11.0,11.0,11.0,1
200101.0,SCAR,661.0,330.5,530.0,131.0,2
200101.0,SCBA,457.0,457.0,457.0,457.0,1
200101.0,SCCF,422.0,211.0,420.0,2.0,2
200101.0,SCCH,214.0,214.0,214.0,214.0,1
200101.0,SCCI,850.0,425.0,813.0,37.0,2
200101.0,SCCY,431.0,431.0,431.0,431.0,1
200101.0,SCDA,1511.0,755.5,1438.0,73.0,2
200101.0,SCEL,6879.0,1719.75,3478.0,12.0,4
200101.0,SCES,61.0,61.0,61.0,61.0,1
200101.0,SCFA,1915.0,957.5,1741.0,174.0,2
200101.0,SCFT,50.0,50.0,50.0,50.0,1
200101.0,SCGE,179.0,179.0,179.0,179.0,1
200101.0,SCGZ,76.0,76.0,76.0,76.0,1
200101.0,SCHA,1810.0,905.0,1806.0,4.0,2
200101.0,SCHR,42.0,42.0,42.0,42.0,1
200101.0,SCIC,487.0,487.0,487.0,487.0,1
200101.0,SCIE,1426.0,1426.0,1426.0,1426.0,1
200101.0,SCIP,22.0,22.0,22.0,22.0,1
200101.0,SCJO,914.0,914.0,914.0,914.0,1
200101.0,SCLC,24.0,24.0,24.0,24.0,1
200101.0,SCLL,16.0,16.0,16.0,16.0,1
200101.0,SCNT,30.0,30.0,30.0,30.0,1
200101.0,SCRD,711.0,711.0,711.0,711.0,1
200101.0,SCRM,17.0,17.0,17.0,17.0,1
200101.0,SCSE,813.0,406.5,805.0,8.0,2
200101.0,SCTB,6596.0,6596.0,6596.0,6596.0,1
200101.0,SCTC,1422.0,711.0,1418.0,4.0,2
200101.0,SCTE,2082.0,1041.0,2028.0,54.0,2
200101.0,SCTI,2215.0,2215.0,2215.0,2215.0,1
200101.0,SCTN,277.0,277.0,277.0,277.0,1
200101.0,SCVD,236.0,236.0,236.0,236.0,1
200101.0,SCVM,392.0,392.0,392.0,392.0,1
200102.0,SCAC,6.0,6.0,6.0,6.0,1
200102.0,SCAP,174.0,174.0,174.0,174.0,1
200102.0,SCAR,79.0,79.0,79.0,79.0,1
200102.0,SCBA,460.0,460.0,460.0,460.0,1
200102.0,SCCC,72.0,72.0,72.0,72.0,1
200102.0,SCCF,5.0,5.0,5.0,5.0,1
200102.0,SCCH,175.0,175.0,175.0,175.0,1
200102.0,SCCI,816.0,408.0,790.0,26.0,2
200102.0,SCCY,435.0,217.5,432.0,3.0,2
200102.0,SCDA,1396.0,698.0,1308.0,88.0,2
200102.0,SCEL,4317.0,1079.25,2957.0,174.0,4
200102.0,SCES,51.0,51.0,51.0,51.0,1
200102.0,SCFA,1664.0,832.0,1662.0,2.0,2
200102.0,SCFM,130.0,130.0,130.0,130.0,1
200102.0,SCFT,30.0,30.0,30.0,30.0,1
200102.0,SCGE,157.0,157.0,157.0,157.0,1
200102.0,SCGZ,91.0,45.5,61.0,30.0,2
200102.0,SCHA,353.0,176.5,351.0,2.0,2
200102.0,SCHR,50.0,50.0,50.0,50.0,1
200102.0,SCIE,1211.0,1211.0,1211.0,1211.0,1
200102.0,SCIP,44.0,22.0,28.0,16.0,2
200102.0,SCJO,174.0,174.0,174.0,174.0,1
200102.0,SCLL,5.0,5.0,5.0,5.0,1
200102.0,SCNT,174.0,174.0,174.0,174.0,1
200102.0,SCRD,644.0,644.0,644.0,644.0,1
200102.0,SCRM,34.0,34.0,34.0,34.0,1
200102.0,SCSE,788.0,394.0,782.0,6.0,2
200102.0,SCSR,40.0,40.0,40.0,40.0,1
200102.0,SCTB,5176.0,5176.0,5176.0,5176.0,1
200102.0,SCTC,1551.0,775.5,1377.0,174.0,2
200102.0,SCTE,1894.0,947.0,1850.0,44.0,2
200102.0,SCTI,1753.0,1753.0,1753.0,1753.0,1
200102.0,SCTN,186.0,186.0,186.0,186.0,1
200102.0,SCVD,203.0,203.0,203.0,203.0,1
200102.0,SCVM,288.0,144.0,284.0,4.0,2
200103.0,SCAP,8.0,8.0,8.0,8.0,1
200103.0,SCAR,111.0,111.0,111.0,111.0,1
200103.0,SCBA,458.0,458.0,458.0,458.0,1
200103.0,SCCC,96.0,96.0,96.0,96.0,1
200103.0,SCCF,364.0,364.0,364.0,364.0,1
200103.0,SCCH,293.0,293.0,293.0,293.0,1
200103.0,SCCI,210.0,105.0,174.0,36.0,2
200103.0,SCCY,472.0,472.0,472.0,472.0,1
200103.0,SCDA,1517.0,758.5,1460.0,57.0,2
200103.0,SCEL,7071.0,2357.0,3332.0,553.0,3
200103.0,SCES,46.0,46.0,46.0,46.0,1
200103.0,SCFA,1565.0,1565.0,1565.0,1565.0,1
200103.0,SCFM,154.0,154.0,154.0,154.0,1
200103.0,SCFT,20.0,20.0,20.0,20.0,1
200103.0,SCGE,107.0,107.0,107.0,107.0,1
200103.0,SCGZ,62.0,31.0,36.0,26.0,2
200103.0,SCHA,401.0,200.5,397.0,4.0,2
200103.0,SCHR,32.0,32.0,32.0,32.0,1
200103.0,SCIC,322.0,322.0,322.0,322.0,1
