mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200101.0,SCTC,D,1418.0
200101.0,SCTC,I,4.0
200101.0,SCTE,D,2028.0
200101.0,SCTE,I,54.0
200101.0,SCTI,D,2215.0
200101.0,SCTN,D,277.0
200101.0,SCVD,D,236.0
200101.0,SCVM,D,392.0
200102.0,SCAC,D,6.0
200102.0,SCAP,D,
,SCAR,D,494.0
200102.0,SCAR,I,79.0
200102.0,SCBA,D,460.0
200102.0,SCCC,D,72.0
,SCCF,D,329.0
200102.0,SCCF  ,I,5.0
200102.0,SCCH,D,175.0  
200102.0,SCCI,D,790.0
200102.0,SCCI,I,26.0
200102.0,SCCY,D,432.0
200102.0,SCCY,I,3.0
200102.0,SCDA,D,1308.0
200102.0,SCDA,I,88.0
200102.0,SCEL,D,
200102.0,SCEL  ,I,2957.0
200102.0,SCES,D,51.0
200102.0,SCFA,D,1662.0
200102.0,SCFA,I,2.0
200102.0,SCFM,D,130.0
200102.0,SCFT  ,D,30.0
200102.0,SCGE,D,157.0
200102.0,SCGZ,D  ,61.0
200102.0,SCGZ,I,30.0
200102.0,SCHA,D,351.0
200102.0,SCHA,I,2.0
200102.0,SCHR,D,50.0
200102.0,,D,411.0
200102.0,SCIE,D,1211.0
200102.0,SCIP,D,28.0
200102.0,SCIP,I,16.0
200102.0,SCJO,D,
200102.0,,D,775.0
200102.0  ,SCLL,D,5.0
200102.0,SCNT,D,
200102.0,SCRD,D,644.0
200102.0,SCRM  ,D,34.0
200102.0,SCSE,D,782.0
200102.0,SCSE,I,6.0
200102.0,SCSR,,40.0
200102.0,SCTB,D,5176.0
200102.0,SCTC,D,1377.0
200102.0,SCTC,I,
200102.0,SCTE,D,1850.0
200102.0,SCTE,I,44.0
200102.0,SCTI,D,1753.0
200102.0,SCTN,D,186.0
200102.0,SCVD,D,203.0
200102.0,SCVM,D  ,284.0
200102.0,SCVM,I,4.0
200103.0,SCAP,D,8.0
200103.0,,D,553.0
200103.0,SCAR,I,111.0
200103.0,SCBA,D,458.0
200103.0,SCCC,D,96.0
200103.0,SCCF,D,364.0
200103.0,SCCH,D,293.0
200103.0,SCCI,D,
200103.0,SCCI,I,36.0
200103.0,SCCY,D,472.0
200103.0,SCDA,D,1460.0
200103.0,SCDA  ,I,57.0
200103.0,,D,3332.0
200103.0,SCEL,I,3186.0
200103.0,SCES,D,46.0
200103.0,SCFA,D,1565.0
200103.0,SCFM,D,154.0
200103.0,SCFT,,20.0
200103.0,SCGE,D,107.0
200103.0,SCGZ,D,36.0
200103.0,SCGZ,I,26.0
200103.0  ,SCHA,D,397.0
200103.0,SCHA,I,4.0  
200103.0,SCHR,D,32.0
200103.0,SCIC,D,322.0
200103.0,SCIE  ,D,1325.0
200103.0,SCIP,D,20.0
200103.0,SCIP,I,22.0
200103.0,SCJO,D,676.0
200103.0,SCJO,I,1.0
200103.0,SCLC,D,60.0
200103.0,SCLL,D,28.0
200103.0,SCNT,D,29.0
200103.0,SCNT,I,1.0
200103.0,SCRD  ,D,812.0
200103.0,SCRM,D,5.0
200103.0,SCRM,I,1.0
200103.0,SCSE,D,718.0
200103.0,SCSR,D,25.0
200103.0,SCTB,D,5080.0
200103.0,SCTC,D,1162.0
200103.0,SCTC,I,1.0
200103.0,SCTE,D,1447.0
200103.0,SCTE,I,45.0
200103.0  ,SCTI,D,2145.0
200103.0,SCTN,D,158.0
200103.0,SCVD,D,150.0
200103.0,SCVM,D,364.0
200104.0,SCAP,D,2.0
200104.0,SCAR,D,487.0  
,SCAR,I,89.0
200104.0,SCBA,D,348.0
200104.0,SCBA,,2.0
,SCCC,D,68.0
200104.0,SCCF,D,296.0  
200104.0,SCCH,D,172.0
200104.0,SCCI,D,462.0
,SCCI,,19.0
200104.0,SCCY,D,389.0
200104.0,SCDA,D,1520.0
200104.0,SCDA,I,77.0
200104.0,SCEL,D,2944.0
200104.0,SCEL,I,2784.0
200104.0  ,SCES,D,47.0
200104.0,,D,1359.0
200104.0,SCFA,I,18.0
200104.0  ,SCFM,D,122.0
200104.0,SCGE,D,78.0
200104.0,SCGZ,D,31.0
200104.0,SCGZ,I,10.0
200104.0,,D,334.0  
200104.0,SCHR,D,50.0
200104.0,SCIC,D,185.0
200104.0,SCIE,D,
200104.0,SCIE,I,6.0
200104.0,SCIP,D,19.0
200104.0,SCIP,I,23.0
200104.0,SCJO,D  ,723.0
200104.0,SCLC,D,785.0
200104.0,SCLL,D,35.0
200104.0,SCNT,D,8.0
200104.0,SCRD,D  ,480.0
200104.0,SCSE,D,645.0
200104.0,SCSR,D,6.0
200104.0  ,SCTB,D,4254.0
200104.0,SCTC,D,781.0
200104.0  ,SCTC,I,12.0
200104.0,SCTE,D,1231.0
200104.0,SCTE,I,32.0
200104.0,SCTI,D,2264.0
200104.0,SCTN,D,128.0
200104.0,SCVD,D,128.0
200104.0,SCVM,D,589.0
200105.0,SCAR,D,552.0
,SCAR,I,90.0
200105.0,SCBA  ,D,337.0
200105.0,SCCC,D,
,SCCF  ,D,366.0
200105.0,SCCH,D,152.0
,SCCI,D,443.0
200105.0,SCCI,I,15.0
200105.0,SCCY,D,283.0
200105.0,SCDA,D,1270.0
200105.0,SCDA,I,57.0
200105.0,SCEL,,2999.0
200105.0,SCEL,,2719.0
,SCES,D  ,70.0
200105.0,SCFA,D,1353.0
200105.0,SCFM,D,124.0
,SCFT,D,2.0
200105.0,SCGE,D,
200105.0  ,SCGZ,D,36.0
200105.0,SCGZ,I,2.0
200105.0,SCHA,D,494.0
200105.0,SCHR,D,30.0
,SCIC,D,197.0
200105.0,,D,1058.0
200105.0,,,5.0
200105.0,,D  ,18.0
200105.0,SCIP,I,22.0
200105.0,SCJO,,150.0
200105.0,SCLC,D,774.0
200105.0,SCLL,D,13.0
200105.0,SCRD,D,696.0
200105.0,SCSE,D,788.0
200105.0,SCSE,I,1.0
200105.0,SCSR,D,79.0
200105.0,SCTB,D  ,3623.0
,SCTC,D,704.0
200105.0,SCTE,D,1063.0
200105.0,SCTE,I,31.0
200105.0,,D,2022.0
200105.0,SCTI,I,1.0  
200105.0  ,SCTN,D,81.0
200105.0,SCVD,D,128.0
,,D,
200106.0,SCAP,D,
200106.0,SCAR,D  ,431.0
200106.0  ,SCAR,I,77.0
200106.0,SCBA,D,282.0  
200106.0,SCCC,D,46.0
200106.0,SCCF,D,364.0
200106.0,SCCH,D,223.0
,SCCI,D,415.0
200106.0,SCCI,I,19.0
200106.0,SCCY,D  ,170.0
200106.0,SCDA,D,1089.0
200106.0,SCDA,I,52.0
200106.0  ,SCEL,,2707.0
200106.0,SCEL,I,2581.0
200106.0,,D,55.0
200106.0,SCFA,D,1254.0
200106.0,SCFA,I,1.0
200106.0,SCFM,D,121.0
200106.0,,D,100.0
200106.0,SCGZ,D,28.0
200106.0,SCGZ,,2.0
200106.0,SCHA,D,344.0
200106.0,SCHA,I,2.0
200106.0  ,SCHR,D,26.0
200106.0,SCIC,D,257.0
200106.0,,D,
200106.0,SCIE,I,5.0
200106.0,SCIP,D,21.0
200106.0,SCIP,I  ,19.0
200106.0,,D,397.0
200106.0,SCLC,D,585.0
200106.0,SCLL,D,40.0
200106.0,SCNT,D,6.0
200106.0,SCRD,D,536.0
200106.0,SCSE,D,611.0
200106.0,SCSR,D,6.0
200106.0,SCTB,D,3607.0
200106.0,SCTC  ,D,707.0  
200106.0,SCTC,I,1.0
,SCTE,D,802.0
200106.0,SCTE,I,nan  
200106.0,SCTI,D,2516.0
200106.0,SCTN,D,81.0
